4620331|Bronx|CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL)|Wed 2016-11-02 10:32:58|8.08|584|40.84654,-73.93202 40.84611,-73.93075 40.84527,-73.92726 40.84496,-73.92593 40.84482,-73.92481 40.84482,-73.92369 40.84501,-73.92041 40.84523,-73.91556 40.84524,-73.91198 40.8452,-73.91082|
4620310|Bronx|CBE W U/LEV AMSTERDAM AVE - I95 S EXP LNS|Wed 2016-11-02 10:35:58|27.96|290|40.84653,-73.93203 40.84717,-73.93359 40.84859,-73.93696 40.84921,-73.9399 40.84955,-73.94179 40.85004,-73.94461 40.85116,-73.95037 40.85161,-73.95285 40.85203,-73.95521 40.85291,-73.95961 40.85324,-73.96066 40.85346,-73.96148 40.85357,-73.96206 40.8538,-73.96327|
4616351|Queens|CIP N Hempstead Tpk - LIE|Mon 2016-11-07 10:59:36|57.17|193|40.71167,-73.72839 40.71309,-73.72892 40.71362,-73.72902 40.71486,-73.7291 40.71577,-73.72891 40.71674,-73.72849 40.71735,-73.72803 40.71918,-73.72643 40.72008,-73.72586 40.72073,-73.72557 40.72246,-73.72499 40.72322,-73.7248 40.73177,-73.72294 40.73334,-73.72267 40.73404,-73.72262 40.73496,-73.72271 40.73574,-73.72285 40.73634,-73.72302 40.73814,-73.72376 40.73895,-73.72432 40.74027,-73.72564 40.74106,-73.72683 40.74196,-73.72843 40.74337,-73.73139 40.74484,-73.73386 40.74555,-73.73482 40.74648,-73.73591 40.74806,-73.73763 40.74866,-73.7384 40.74937,-73.73948 40.75026,-73.74098 40.75081,-73.74173 40.75158,-73.74256 40.75232,-73.74321 40.7554,-73.7457 40.75713,-73.74724 40.75805,-73.7482 40.75855,-73.74885|
4616320|Queens|CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl)|Mon 2016-11-07 10:59:35|50.95|161|40.78944,-73.78629 40.78918,-73.78792 40.7887,-73.78952 40.78827,-73.79063 40.78729,-73.79263 40.78668,-73.7941 40.7864,-73.7949 40.78612,-73.79624 40.78602,-73.79693 40.78596,-73.79837 40.7861,-73.80182 40.78633,-73.80525 40.78664,-73.80853 40.78678,-73.80913 40.78677,-73.80938 40.78692,-73.81085 40.78729,-73.81364 40.78753,-73.81471 40.7879,-73.81598 40.78817,-73.8167 40.78905,-73.81874 40.78942,-73.81991 40.78959,-73.82072 40.78969,-73.82149 40.7897,-73.82183 40.78966,-73.82219 40.78948,-73.82274 40.78915,-73.82324 40.78861,-73.82362 40.78861,-73.82362 40.78704,-73.82414 40.78439,-73.8247 40.78249,-73.82503 40.7817,-73.82527 40.78065,-73.82579 40.77603,-73.8285 40.77444,-73.8296 40.77385,-73.83011 40.77279,-73.83129 40.77177,-73.83279 40.7714,-73.83341|
4362247|Queens|CIP NB GCP - TNB|Fri 2016-08-05 13:16:46|11.81|1294|40.78819,-73.79052 40.78879,-73.78895 40.78912,-73.78771 40.78941,-73.78573 40.78948,-73.78448 40.78941,-73.78255 40.78924,-73.78116 40.78896,-73.77992 40.78854,-73.77866 40.78809,-73.77765 40.78754,-73.77664 40.78704,-73.77592 40.78644,-73.77521 40.78542,-73.77427 40.78417,-73.77319 40.78275,-73.77194 40.78044,-73.76956 40.77936,-73.76877 40.77758,-73.76791 40.77556,-73.76686 40.77385,-73.76566 40.7725,-73.76438 40.77031,-73.76177 40.76957,-73.76093 40.76861,-73.76037 40.76702,-73.75958 40.76541,-73.75909 40.76404,-73.75854 40.76274,-73.7576 40.76184,-73.75659 40.76122,-73.75569 40.76073,-73.75459 40.76029,-73.75325 40.75958,-73.75113 40.75911,-73.75002 40.75838,-73.74885 40.75735,-73.74775 40.7561,-73.74655 40.75521,-73.74575 40.7533,-73.74425 40.75227,-73.74337 40.75119,-73.74238 40.75034,-73.74137 40.74971,-73.74049 40.74879,-73.73895 40.74798,-73.73775 40.74719,-73.73683 40.74611,-73.73568 40.74533,-73.7346 40.74489,-73.73316 40.74517,-73.73155 40.74596,-73.73054 40.74697,-73.72962 40.74759,-73.7291 40.74954,-73.72841 40.75043,-73.72797 40.75135,-73.72719 40.75201,-73.72642 40.75276,-73.7252 40.75356,-73.72389 40.75435,-73.72301|
4616352|Queens|CIP S Hempstead Tpk - Laurelton Pkwy @ SSP|Mon 2016-11-07 10:59:36|57.17|134|40.71426,-73.72926 40.71366,-73.7292 40.71239,-73.72886 40.71038,-73.72795 40.70912,-73.72763 40.69798,-73.72709 40.69094,-73.72678 40.69009,-73.72678 40.68932,-73.72673 40.68732,-73.72641 40.68526,-73.72634 40.68526,-73.72634 40.68449,-73.72641 40.68364,-73.72667|
4616350|Queens|CIP S LIE - Hempstead Tpk|Mon 2016-11-07 10:59:36|55.92|196|40.74877,-73.73895 40.74799,-73.73784 40.74717,-73.73689 40.74625,-73.73597 40.74547,-73.73503 40.74466,-73.734 40.744,-73.73302 40.74372,-73.73251 40.74184,-73.72849 40.7406,-73.72642 40.7396,-73.72512 40.73889,-73.72447 40.73808,-73.72398 40.7365,-73.72337 40.73628,-73.72324 40.7353,-73.72294 40.73448,-73.72286 40.73353,-73.72286 40.73277,-73.72295 40.72974,-73.72354 40.72246,-73.72516 40.72072,-73.72574 40.71976,-73.72622 40.71901,-73.72676 40.71747,-73.72815 40.71705,-73.72845 40.71632,-73.72887 40.71566,-73.72912 40.71522,-73.72922 40.71426,-73.72926|
4362250|Queens|CVE NB GCP - WILLETS PT BLVD|Mon 2016-11-07 10:59:02|26.72|863|40.78795,-73.79019 40.78647,-73.78812 40.78621,-73.78778 40.78587,-73.78738 40.78541,-73.78693 40.78465,-73.78626 40.78438,-73.78607 40.78327,-73.78547 40.78266,-73.78527 40.77956,-73.78463 40.77606,-73.78439 40.77373,-73.78426 40.77273,-73.78405 40.77203,-73.78383 40.76592,-73.78064 40.76286,-73.77901 40.76068,-73.77792 40.75448,-73.77606 40.75211,-73.77519 40.74761,-73.77306 40.74682,-73.77262 40.74561,-73.77192 40.74525,-73.77149 40.74516,-73.77068 40.74566,-73.7687 40.74584,-73.76779|
4362244|Queens|CVE NB LIE - WILLETS PT BLVD|Mon 2016-11-07 10:59:02|49.71|202|40.78802,-73.79003 40.78686,-73.78838 40.78635,-73.78777 40.78545,-73.78683 40.78502,-73.78648 40.7848,-73.78632 40.7844,-73.78601 40.78377,-73.78567 40.78317,-73.78538 40.78264,-73.7852 40.7817,-73.78497 40.78116,-73.78489 40.78058,-73.78476 40.77979,-73.7846 40.77959,-73.78457 40.77806,-73.78435 40.77631,-73.78409 40.77631,-73.78409 40.77631,-73.78409 40.77469,-73.78401 40.77331,-73.78384 40.77174,-73.78334 40.7705,-73.78273 40.76879,-73.78186 40.76721,-73.78102 40.76662,-73.78068 40.76587,-73.78028 40.76514,-73.77992 40.76416,-73.77951 40.76112,-73.77796 40.75971,-73.77707 40.75905,-73.77696 40.75839,-73.77706 40.75737,-73.77672 40.75632,-73.77643 40.75498,-73.77608 40.75391,-73.77587 40.7534,-73.77567 40.75313,-73.77557 40.75006,-73.77416 40.74848,-73.7734 40.74673,-73.77258 40.74479,-73.77167 40.74268,-73.77068 40.74036,-73.76957 40.73767,-73.76833 40.73449,-73.76679 40.73377,-73.76639 40.73239,-73.7654 40.72972,-73.76251 40.72838,-73.76018 40.72772,-73.75834 40.72741,-73.75692 40.72738,-73.75521 40.72757,-73.75511|
4456450|Manhattan|FDR N - TBB E 116TH STREET - MANHATTAN TRUSS|Mon 2016-11-07 10:59:39|36.04|65|40.80069,-73.92878 40.8013,-73.93018 40.80141,-73.93057 40.80143,-73.93084 40.80133,-73.93106 40.80114,-73.93126 40.80084,-73.93127 40.80067,-73.93115 40.80052,-73.93095 40.80018,-73.93015 40.80007,-73.92993 40.79989,-73.92972 40.79972,-73.92955 40.79948,-73.92942 40.79911,-73.92936 40.79777,-73.92923 40.79752,-73.92916 40.79671,-73.92927 40.79596,-73.92947 40.79565,-73.92962 40.79504,-73.93004 40.79472,-73.93034 40.79421,-73.93122|
